id	feature	auc	p_value	p_adjusted	cohens_d	n_pos	n_neg	ci_lower	ci_upper	status	description
49	rmssd_21d_autocorr	0.5375	0.145854	0.0	0.613	85	128	0.4546	0.6236	PENDING	Does rmssd_21d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
50	rmssd_21d_autocorr	0.5375	0.145854	0.0	0.613	85	128	0.465	0.61	PENDING	Does rmssd_21d_autocorr predict PHQ-9 increased from baseline?
51	rmssd_28d_mean	0.0586	0.413586	0.0	0.3946	21	26	0.0	0.15	PENDING	Does rmssd_28d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
52	rmssd_28d_mean	0.0586	0.426573	0.0	0.3946	21	26	0.0	0.1491	PENDING	Does rmssd_28d_mean predict PHQ-9 increased from baseline?
53	rmssd_28d_std	0.0385	0.737263	0.0	0.1662	21	26	0.0	0.1	PENDING	Does rmssd_28d_std predict PHQ-9 ≥ 5 (mild+ depression)?
54	rmssd_28d_std	0.0385	0.752248	0.0	0.1662	21	26	0.0	0.1056	PENDING	Does rmssd_28d_std predict PHQ-9 increased from baseline?
55	rmssd_28d_cv	0.0952	0.99001	0.0	0.0077	21	26	0.0038	0.213	PENDING	Does rmssd_28d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
56	rmssd_28d_cv	0.0952	0.979021	0.0	0.0077	21	26	0.0057	0.2082	PENDING	Does rmssd_28d_cv predict PHQ-9 increased from baseline?
57	rmssd_28d_slope	0.0293	0.814186	0.0	0.1416	21	26	0.0	0.0809	PENDING	Does rmssd_28d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
58	rmssd_28d_slope	0.0293	0.751249	0.0	0.1416	21	26	0.0	0.0818	PENDING	Does rmssd_28d_slope predict PHQ-9 increased from baseline?
59	rmssd_28d_autocorr	0.0	0.213786	0.0	0.6245	21	26	0.0	0.0	PENDING	Does rmssd_28d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
60	rmssd_28d_autocorr	0.0	0.207792	0.0	0.6245	21	26	0.0	0.0	PENDING	Does rmssd_28d_autocorr predict PHQ-9 increased from baseline?
61	hr_3d_mean	0.4315	0.24975	0.0	0.3474	371	737	0.3985	0.4673	PENDING	Does hr_3d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
62	hr_3d_mean	0.4315	0.237762	0.0	0.3474	371	737	0.3974	0.4681	PENDING	Does hr_3d_mean predict PHQ-9 increased from baseline?
63	hr_3d_std	0.3358	0.171828	0.0	0.424	371	737	0.2987	0.3739	PENDING	Does hr_3d_std predict PHQ-9 ≥ 5 (mild+ depression)?
64	hr_3d_std	0.3358	0.157842	0.0	0.424	371	737	0.3	0.3741	PENDING	Does hr_3d_std predict PHQ-9 increased from baseline?
65	hr_3d_cv	0.2942	0.245754	0.0	0.3411	371	737	0.2602	0.3322	PENDING	Does hr_3d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
66	hr_3d_cv	0.2942	0.254745	0.0	0.3411	371	737	0.2586	0.331	PENDING	Does hr_3d_cv predict PHQ-9 increased from baseline?
67	hr_3d_slope	0.2541	0.003996	0.0	0.9506	371	737	0.2216	0.2862	PENDING	Does hr_3d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
68	hr_3d_slope	0.2541	0.003996	0.0	0.9506	371	737	0.2238	0.2876	PENDING	Does hr_3d_slope predict PHQ-9 increased from baseline?
69	hr_3d_autocorr	0.016	0.33966	0.0	0.2943	371	737	0.0104	0.0228	PENDING	Does hr_3d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
70	hr_3d_autocorr	0.016	0.326673	0.0	0.2943	371	737	0.0103	0.0226	PENDING	Does hr_3d_autocorr predict PHQ-9 increased from baseline?
71	hr_5d_mean	0.3964	0.206793	0.0	0.3728	319	617	0.3599	0.4343	PENDING	Does hr_5d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
72	hr_5d_mean	0.3964	0.220779	0.0	0.3728	319	617	0.361	0.4325	PENDING	Does hr_5d_mean predict PHQ-9 increased from baseline?
73	hr_5d_std	0.3124	0.166833	0.0	0.4319	319	617	0.2758	0.3491	PENDING	Does hr_5d_std predict PHQ-9 ≥ 5 (mild+ depression)?
74	hr_5d_std	0.3124	0.164835	0.0	0.4319	319	617	0.2727	0.3514	PENDING	Does hr_5d_std predict PHQ-9 increased from baseline?
75	hr_5d_cv	0.2421	0.304695	0.0	0.3194	319	617	0.2067	0.2756	PENDING	Does hr_5d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
76	hr_5d_cv	0.2421	0.306693	0.0	0.3194	319	617	0.2099	0.2756	PENDING	Does hr_5d_cv predict PHQ-9 increased from baseline?
77	hr_5d_slope	0.1521	0.158841	0.0	0.4281	319	617	0.1244	0.1801	PENDING	Does hr_5d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
78	hr_5d_slope	0.1521	0.152847	0.0	0.4281	319	617	0.1251	0.1799	PENDING	Does hr_5d_slope predict PHQ-9 increased from baseline?
79	hr_5d_autocorr	0.0108	0.336663	0.0	0.3071	319	617	0.0064	0.0159	PENDING	Does hr_5d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
80	hr_5d_autocorr	0.0108	0.302697	0.0	0.3071	319	617	0.0062	0.0161	PENDING	Does hr_5d_autocorr predict PHQ-9 increased from baseline?
81	hr_7d_mean	0.3363	0.151848	0.0	0.4413	278	514	0.3	0.3754	PENDING	Does hr_7d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
82	hr_7d_mean	0.3363	0.150849	0.0	0.4413	278	514	0.2999	0.3752	PENDING	Does hr_7d_mean predict PHQ-9 increased from baseline?
83	hr_7d_std	0.263	0.127872	0.0	0.4919	278	514	0.2257	0.3024	PENDING	Does hr_7d_std predict PHQ-9 ≥ 5 (mild+ depression)?
84	hr_7d_std	0.263	0.113886	0.0	0.4919	278	514	0.2252	0.3013	PENDING	Does hr_7d_std predict PHQ-9 increased from baseline?
85	hr_7d_cv	0.1749	0.255744	0.0	0.3567	278	514	0.1442	0.2066	PENDING	Does hr_7d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
86	hr_7d_cv	0.1749	0.234765	0.0	0.3567	278	514	0.1462	0.2087	PENDING	Does hr_7d_cv predict PHQ-9 increased from baseline?
87	hr_7d_slope	0.1308	0.070929	0.0	0.5335	278	514	0.1038	0.1609	PENDING	Does hr_7d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
88	hr_7d_slope	0.1308	0.081918	0.0	0.5335	278	514	0.1041	0.1582	PENDING	Does hr_7d_slope predict PHQ-9 increased from baseline?
89	hr_7d_autocorr	0.27	0.283716	0.0	0.3325	278	514	0.2348	0.3066	PENDING	Does hr_7d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
90	hr_7d_autocorr	0.27	0.288711	0.0	0.3325	278	514	0.2361	0.3044	PENDING	Does hr_7d_autocorr predict PHQ-9 increased from baseline?
91	hr_14d_mean	0.0331	0.485514	0.0	0.2392	169	277	0.0195	0.0499	PENDING	Does hr_14d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
92	hr_14d_mean	0.0331	0.463536	0.0	0.2392	169	277	0.0184	0.0509	PENDING	Does hr_14d_mean predict PHQ-9 increased from baseline?
93	hr_14d_std	0.04	0.230769	0.0	0.3896	169	277	0.0194	0.0639	PENDING	Does hr_14d_std predict PHQ-9 ≥ 5 (mild+ depression)?
94	hr_14d_std	0.04	0.251748	0.0	0.3896	169	277	0.0196	0.0633	PENDING	Does hr_14d_std predict PHQ-9 increased from baseline?
95	hr_14d_cv	0.0164	0.416583	0.0	0.3036	169	277	0.0047	0.0323	PENDING	Does hr_14d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
96	hr_14d_cv	0.0164	0.357642	0.0	0.3036	169	277	0.0051	0.0304	PENDING	Does hr_14d_cv predict PHQ-9 increased from baseline?
97	hr_14d_slope	0.4056	0.14985	0.0	0.5103	169	277	0.3493	0.4628	PENDING	Does hr_14d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
98	hr_14d_slope	0.4056	0.144855	0.0	0.5103	169	277	0.3518	0.4615	PENDING	Does hr_14d_slope predict PHQ-9 increased from baseline?
99	hr_14d_autocorr	0.274	0.23976	0.0	0.431	169	277	0.2242	0.3225	PENDING	Does hr_14d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
100	hr_14d_autocorr	0.274	0.201798	0.0	0.431	169	277	0.2296	0.3195	PENDING	Does hr_14d_autocorr predict PHQ-9 increased from baseline?
101	hr_21d_mean	0.0	0.991009	0.0	0.0049	85	128	0.0	0.0	PENDING	Does hr_21d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
102	hr_21d_mean	0.0	0.987013	0.0	0.0049	85	128	0.0	0.0	PENDING	Does hr_21d_mean predict PHQ-9 increased from baseline?
103	hr_21d_std	0.0178	0.814186	0.0	0.096	85	128	0.0	0.0419	PENDING	Does hr_21d_std predict PHQ-9 ≥ 5 (mild+ depression)?
104	hr_21d_std	0.0178	0.827173	0.0	0.096	85	128	0.0	0.0389	PENDING	Does hr_21d_std predict PHQ-9 increased from baseline?
105	hr_21d_cv	0.0174	0.812188	0.0	0.0974	85	128	0.0	0.04	PENDING	Does hr_21d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
106	hr_21d_cv	0.0174	0.816184	0.0	0.0974	85	128	0.0	0.0382	PENDING	Does hr_21d_cv predict PHQ-9 increased from baseline?
107	hr_21d_slope	0.5249	0.038961	0.0	0.8786	85	128	0.4404	0.6089	PENDING	Does hr_21d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
108	hr_21d_slope	0.5249	0.027972	0.0	0.8786	85	128	0.4527	0.6049	PENDING	Does hr_21d_slope predict PHQ-9 increased from baseline?
109	hr_21d_autocorr	0.0	0.609391	0.0	0.2097	85	128	0.0	0.0	PENDING	Does hr_21d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
110	hr_21d_autocorr	0.0	0.598402	0.0	0.2097	85	128	0.0	0.0	PENDING	Does hr_21d_autocorr predict PHQ-9 increased from baseline?
111	hr_28d_mean	0.0348	0.988012	0.0	0.0055	21	26	0.0	0.1167	PENDING	Does hr_28d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
112	hr_28d_mean	0.0348	0.988012	0.0	0.0055	21	26	0.0	0.1087	PENDING	Does hr_28d_mean predict PHQ-9 increased from baseline?
113	hr_28d_std	0.1172	0.517483	0.0	0.3219	21	26	0.0366	0.2156	PENDING	Does hr_28d_std predict PHQ-9 ≥ 5 (mild+ depression)?
114	hr_28d_std	0.1172	0.511489	0.0	0.3219	21	26	0.0291	0.2363	PENDING	Does hr_28d_std predict PHQ-9 increased from baseline?
115	hr_28d_cv	0.0806	0.501499	0.0	0.337	21	26	0.0128	0.1703	PENDING	Does hr_28d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
116	hr_28d_cv	0.0806	0.473526	0.0	0.337	21	26	0.0146	0.1739	PENDING	Does hr_28d_cv predict PHQ-9 increased from baseline?
117	hr_28d_slope	0.0	0.551449	0.0	0.2826	21	26	0.0	0.0	PENDING	Does hr_28d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
118	hr_28d_slope	0.0	0.564436	0.0	0.2826	21	26	0.0	0.0	PENDING	Does hr_28d_slope predict PHQ-9 increased from baseline?
119	hr_28d_autocorr	0.4542	0.778222	0.0	0.1475	21	26	0.2969	0.626	PENDING	Does hr_28d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
120	hr_28d_autocorr	0.4542	0.778222	0.0	0.1475	21	26	0.2941	0.637	PENDING	Does hr_28d_autocorr predict PHQ-9 increased from baseline?
121	lfhf_3d_mean	0.497	0.371628	0.0	0.2743	371	737	0.4625	0.5321	PENDING	Does lfhf_3d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
122	lfhf_3d_mean	0.497	0.356643	0.0	0.2743	371	737	0.461	0.53	PENDING	Does lfhf_3d_mean predict PHQ-9 increased from baseline?
123	lfhf_3d_std	0.2664	0.085914	0.0	0.5202	371	737	0.2294	0.3038	PENDING	Does lfhf_3d_std predict PHQ-9 ≥ 5 (mild+ depression)?
124	lfhf_3d_std	0.2664	0.087912	0.0	0.5202	371	737	0.2285	0.3037	PENDING	Does lfhf_3d_std predict PHQ-9 increased from baseline?
125	lfhf_3d_cv	0.4564	0.025974	0.0	0.6777	371	737	0.4157	0.4962	PENDING	Does lfhf_3d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
126	lfhf_3d_cv	0.4564	0.032967	0.0	0.6777	371	737	0.4194	0.4943	PENDING	Does lfhf_3d_cv predict PHQ-9 increased from baseline?
127	lfhf_3d_slope	0.0154	0.729271	0.0	0.098	371	737	0.0059	0.027	PENDING	Does lfhf_3d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
128	lfhf_3d_slope	0.0154	0.738262	0.0	0.098	371	737	0.0058	0.0266	PENDING	Does lfhf_3d_slope predict PHQ-9 increased from baseline?
129	lfhf_3d_autocorr	0.2603	0.080919	0.0	0.544	371	737	0.2334	0.2897	PENDING	Does lfhf_3d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
130	lfhf_3d_autocorr	0.2603	0.08991	0.0	0.544	371	737	0.2313	0.2925	PENDING	Does lfhf_3d_autocorr predict PHQ-9 increased from baseline?
131	lfhf_5d_mean	0.5307	0.328671	0.0	0.2869	319	617	0.4927	0.5703	PENDING	Does lfhf_5d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
132	lfhf_5d_mean	0.5307	0.350649	0.0	0.2869	319	617	0.4912	0.5693	PENDING	Does lfhf_5d_mean predict PHQ-9 increased from baseline?
133	lfhf_5d_std	0.2441	0.084915	0.0	0.4722	319	617	0.2075	0.2816	PENDING	Does lfhf_5d_std predict PHQ-9 ≥ 5 (mild+ depression)?
134	lfhf_5d_std	0.2441	0.126873	0.0	0.4722	319	617	0.2064	0.2806	PENDING	Does lfhf_5d_std predict PHQ-9 increased from baseline?
135	lfhf_5d_cv	0.4686	0.02997	0.0	0.6548	319	617	0.4269	0.5076	PENDING	Does lfhf_5d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
136	lfhf_5d_cv	0.4686	0.033966	0.0	0.6548	319	617	0.4275	0.511	PENDING	Does lfhf_5d_cv predict PHQ-9 increased from baseline?
137	lfhf_5d_slope	0.0042	0.672328	0.0	0.1519	319	617	0.0	0.0115	PENDING	Does lfhf_5d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
138	lfhf_5d_slope	0.0042	0.655345	0.0	0.1519	319	617	0.0	0.0123	PENDING	Does lfhf_5d_slope predict PHQ-9 increased from baseline?
139	lfhf_5d_autocorr	0.3409	0.138861	0.0	0.4406	319	617	0.3033	0.379	PENDING	Does lfhf_5d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
140	lfhf_5d_autocorr	0.3409	0.151848	0.0	0.4406	319	617	0.3072	0.3809	PENDING	Does lfhf_5d_autocorr predict PHQ-9 increased from baseline?
141	lfhf_7d_mean	0.5581	0.297702	0.0	0.3143	278	514	0.5174	0.5987	PENDING	Does lfhf_7d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
142	lfhf_7d_mean	0.5581	0.303696	0.0	0.3143	278	514	0.5128	0.6005	PENDING	Does lfhf_7d_mean predict PHQ-9 increased from baseline?
143	lfhf_7d_std	0.2218	0.130869	0.0	0.474	278	514	0.1811	0.2602	PENDING	Does lfhf_7d_std predict PHQ-9 ≥ 5 (mild+ depression)?
144	lfhf_7d_std	0.2218	0.132867	0.0	0.474	278	514	0.1857	0.2625	PENDING	Does lfhf_7d_std predict PHQ-9 increased from baseline?
145	lfhf_7d_cv	0.4894	0.022977	0.0	0.7219	278	514	0.4413	0.5338	PENDING	Does lfhf_7d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
146	lfhf_7d_cv	0.4894	0.033966	0.0	0.7219	278	514	0.4457	0.5344	PENDING	Does lfhf_7d_cv predict PHQ-9 increased from baseline?
147	lfhf_7d_slope	0.1243	0.131868	0.0	0.4644	278	514	0.0983	0.1543	PENDING	Does lfhf_7d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
148	lfhf_7d_slope	0.1243	0.135864	0.0	0.4644	278	514	0.0956	0.1562	PENDING	Does lfhf_7d_slope predict PHQ-9 increased from baseline?
149	lfhf_7d_autocorr	0.3853	0.145854	0.0	0.4642	278	514	0.3425	0.4268	PENDING	Does lfhf_7d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
150	lfhf_7d_autocorr	0.3853	0.127872	0.0	0.4642	278	514	0.3468	0.4255	PENDING	Does lfhf_7d_autocorr predict PHQ-9 increased from baseline?
151	lfhf_14d_mean	0.6267	0.192807	0.0	0.438	169	277	0.569	0.6812	PENDING	Does lfhf_14d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
152	lfhf_14d_mean	0.6267	0.193806	0.0	0.438	169	277	0.5711	0.6801	PENDING	Does lfhf_14d_mean predict PHQ-9 increased from baseline?
153	lfhf_14d_std	0.0285	0.232767	0.0	0.4197	169	277	0.0108	0.052	PENDING	Does lfhf_14d_std predict PHQ-9 ≥ 5 (mild+ depression)?
154	lfhf_14d_std	0.0285	0.232767	0.0	0.4197	169	277	0.0118	0.0509	PENDING	Does lfhf_14d_std predict PHQ-9 increased from baseline?
155	lfhf_14d_cv	0.5095	0.034965	0.0	0.7287	169	277	0.4491	0.568	PENDING	Does lfhf_14d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
156	lfhf_14d_cv	0.5095	0.026973	0.0	0.7287	169	277	0.4531	0.5633	PENDING	Does lfhf_14d_cv predict PHQ-9 increased from baseline?
157	lfhf_14d_slope	0.5079	0.012987	0.0	0.8393	169	277	0.4545	0.5626	PENDING	Does lfhf_14d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
158	lfhf_14d_slope	0.5079	0.012987	0.0	0.8393	169	277	0.4511	0.5629	PENDING	Does lfhf_14d_slope predict PHQ-9 increased from baseline?
159	lfhf_14d_autocorr	0.5051	0.113886	0.0	0.5518	169	277	0.4501	0.5624	PENDING	Does lfhf_14d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
160	lfhf_14d_autocorr	0.5051	0.107892	0.0	0.5518	169	277	0.4523	0.562	PENDING	Does lfhf_14d_autocorr predict PHQ-9 increased from baseline?
161	lfhf_21d_mean	0.6655	0.051948	0.0	0.7972	85	128	0.5867	0.7497	PENDING	Does lfhf_21d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
162	lfhf_21d_mean	0.6655	0.044955	0.0	0.7972	85	128	0.5826	0.7511	PENDING	Does lfhf_21d_mean predict PHQ-9 increased from baseline?
163	lfhf_21d_std	0.0	0.915085	0.0	0.0474	85	128	0.0	0.0	PENDING	Does lfhf_21d_std predict PHQ-9 ≥ 5 (mild+ depression)?
164	lfhf_21d_std	0.0	0.924076	0.0	0.0474	85	128	0.0	0.0	PENDING	Does lfhf_21d_std predict PHQ-9 increased from baseline?
165	lfhf_21d_cv	0.5289	0.114885	0.0	0.6474	85	128	0.4411	0.6104	PENDING	Does lfhf_21d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
166	lfhf_21d_cv	0.5289	0.113886	0.0	0.6474	85	128	0.4502	0.6111	PENDING	Does lfhf_21d_cv predict PHQ-9 increased from baseline?
167	lfhf_21d_slope	0.6744	0.018981	0.0	1.0382	85	128	0.5985	0.7407	PENDING	Does lfhf_21d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
168	lfhf_21d_slope	0.6744	0.024975	0.0	1.0382	85	128	0.6036	0.7429	PENDING	Does lfhf_21d_slope predict PHQ-9 increased from baseline?
